Wall time,Step,Value
1677230824.782391,88400,-0.289000004529953
1677231368.827908,88600,-0.19900000095367432
1677231640.21547,88700,-0.19900000095367432
1677232178.962644,88900,-0.21700000762939453
1677232448.568587,89000,-0.21700000762939453
1677232988.710293,89200,-0.19900000095367432
1677233260.300464,89300,-0.21700000762939453
1677233528.125511,89400,-0.24400000274181366
1677233791.577416,89500,-0.3880000114440918
1677234061.797558,89600,-0.19900000095367432
1677234332.836782,89700,-0.19900000095367432
1677234603.97407,89800,-0.19900000095367432
1677234856.901197,89900,-0.5770000219345093
1677236737.34611,90300,-0.34299999475479126
1677237007.387011,90400,-0.21700000762939453
1677237279.417547,90500,-0.24400000274181366
1677237551.472359,90600,-0.19900000095367432
1677237821.944968,90700,-0.19900000095367432
1677238093.209555,90800,-0.21700000762939453
1677238364.387593,90900,-0.19900000095367432
1677238628.01936,91000,-0.3610000014305115
1677238898.151079,91100,-0.20800000429153442
1677239969.705744,91500,-0.19900000095367432
1677240241.525218,91600,-0.21700000762939453
1677240510.739032,91700,-0.2529999911785126
